,,working age employment rate - white,,,,working age employment rate - ethnic minority,,,,working age employment rate for all mixed ethnic group,,,,working age employment rate for all Indians,,,,working age employment rate for all Pakistanis/Bangladeshis,,,,working age employment rate for all Black or black British,,,,working age employment rate for all other ethnic group,,,
Code,Area,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,"7,400","8,500",87.2,*,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-
E09000002,Barking and Dagenham,"50,300","70,900",71,9.7,"45,400","66,300",68.5,10.5,!,"1,200",!,!,"3,800","5,600",68.1,38.6,"13,000","20,000",64.7,19.8,"24,000","34,200",70.4,14.3,"4,000","5,300",74.6,36
E09000003,Barnet,"129,400","168,000",77,8.2,"62,100","91,200",68.1,12.2,"6,200","9,100",68.2,*,"10,300","12,000",85.8,25.4,"1,600","2,600",60.4,*,"13,100","16,900",78,25.2,"30,900","50,600",61.1,17.2
E09000004,Bexley,"97,000","126,800",76.5,6.7,"21,600","29,700",72.6,14.4,"3,100","3,800",81.7,36.1,"2,800","4,900",57.9,*,!,!,!,!,"10,000","12,800",78.2,20.5,"5,400","7,600",70.2,29.5
E09000005,Brent,"70,400","86,300",81.5,11.4,"90,500","134,400",67.3,10.6,"6,600","7,800",84.8,*,"24,400","37,800",64.5,19.8,"9,200","13,700",67.3,36.3,"19,400","29,700",65.3,22.2,"30,900","45,500",67.9,18.8
E09000006,Bromley,"128,200","159,200",80.5,6.4,"37,900","50,200",75.5,12.2,"7,100","8,600",82.4,27.8,"7,700","8,100",94.4,16.3,!,!,!,!,"13,300","16,600",79.9,19.9,"9,500","16,000",59.1,24.7
E09000007,Camden,"96,400","118,900",81.1,7.8,"33,900","66,300",51.1,12.8,"4,900","8,300",58.9,*,"1,200","1,900",65.1,*,"5,200","8,500",60.9,34.7,"6,800","16,500",41.2,25.1,"15,700","31,000",50.7,18.5
E09000008,Croydon,"117,900","152,800",77.1,7.4,"73,600","98,300",75,9.5,"5,700","7,100",80.6,33.9,"13,500","18,400",73.5,22.2,"4,100","6,100",66.9,*,"32,900","46,500",70.8,14.7,"17,400","20,200",86.3,16.8
E09000009,Ealing,"90,400","114,100",79.2,10,"71,200","106,600",66.8,11.9,"4,800","6,500",74.3,*,"24,000","33,100",72.7,20.4,"5,800","11,000",52.6,*,"12,200","21,700",56.2,27.2,"24,400","34,300",70.9,21
E09000010,Enfield,"89,400","132,600",67.4,9.9,"55,000","86,400",63.6,12.6,"2,300","5,200",43.5,*,"7,800","8,400",93.3,21.5,"3,700","7,000",52.6,*,"24,100","36,900",65.2,19.2,"17,100","28,900",59.2,22.7
E09000011,Greenwich,"96,600","118,300",81.6,7,"54,000","77,300",69.9,10.4,"1,300","3,700",35.9,*,"7,500","9,000",84.2,24.1,"3,200","4,400",73.1,*,"25,500","35,900",70.9,15.1,"16,500","24,300",67.7,19.2
E09000012,Hackney,"101,900","123,900",82.3,7.3,"47,300","82,300",57.4,11.1,"3,600","7,000",51,*,"4,500","6,800",66.1,39.2,"3,200","5,100",62.3,*,"26,100","43,900",59.4,15.1,"10,000","19,500",51.1,23.6
E09000013,Hammersmith and Fulham,"74,300","90,500",82.1,7.7,"21,600","36,100",60,14.7,"1,700","3,200",54.3,*,"2,300","2,700",85.5,*,"1,500","1,800",81.9,*,"7,300","13,600",53.6,23.8,"8,800","14,700",59.8,22.9
E09000014,Haringey,"106,000","132,800",79.8,7.4,"44,400","62,800",70.8,11.9,"2,800","4,600",60.5,*,"3,200","4,000",79.6,*,"2,000","2,900",66.9,*,"17,300","26,300",65.8,18.7,"19,200","24,900",76.9,18.5
E09000015,Harrow,"44,200","62,700",70.6,12.6,"63,600","94,400",67.3,10.4,"1,800","5,600",31.5,*,"38,900","49,100",79.2,12.4,"2,500","6,000",41.8,*,"3,700","5,000",74.4,*,"16,700","28,800",58,20.2
E09000016,Havering,"90,100","121,100",74.4,7.2,"31,100","40,000",77.7,12,!,"1,300",!,!,"6,200","8,500",73.1,27.5,"6,700","7,900",85.4,24.5,"13,500","17,800",76,18.9,"4,300","4,600",93.3,20.7
E09000017,Hillingdon,"68,700","88,300",77.8,10.2,"76,000","111,600",68.1,10.4,"2,700","4,300",62.5,*,"42,100","57,300",73.5,13.9,"5,700","11,700",48.5,34.6,"10,400","17,100",61,28.1,"15,100","21,300",71.1,23.4
